# Playlist Version: v20260905031111
# Generated At: 2026-09-05 03:11:11

央视频道,#genre
CCTV-4中文国际,rtsp://27.148.240.185/PLTV/88888888/224/3221226967/10000100000000060000000001740931_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EWm51wB05EIc-Hn-RdY3oog%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2C10000100000000050000000001769281%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA
CCTV-4中文国际,rtsp://27.148.240.189/PLTV/88888888/224/3221226967/10000100000000060000000001740931_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EWm51wB05EIc-Hn-RdY3oog%7EV41H-c8kzSO9hrCbXBXUUo9sZcQEmEsAiOer0fPM7av5QYcqUFBRkMHr3-3BxIH9821eJ1FTOqQOtk0WKiRipTdk7GnBJpVBCJBj1kh34Gc%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210507121606%2C10500000308987%2C117.29.252.239%2C20210507121606%2C10000100000000050000000001769281%2C1000100036445520210507121606%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-4中文国际,http://14.145.143.181:14022/rtp/239.77.1.166:5146
CCTV-4中文国际,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1788476400-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-74ae124e467b8d0335bf73904bdc7145&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CCTV-4中文国际,http://14.112.67.22:3861/rtp/239.77.0.78:5146
CCTV-4中文国际,http://14.145.143.181:14022/rtp/239.77.1.163:5146
CCTV-4中文国际,http://183.62.8.58:50085/tsfile/live/faacts/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,http://14.145.187.131:4022/rtp/239.77.0.33:5146
CCTV-4中文国际,http://183.236.43.98:4013/udp/239.77.1.163:5146
CCTV-4中文国际,http://14.145.187.131:4022/rtp/239.77.1.163:5146
